Englisch, Deutsch
a,ein
abandon,aufgeben
ability,Fähigkeit
able,fähig
abortion,Abbruch
about,um
above,Oben
abroad,im Ausland
absence,Abwesenheit
absolute,absolut
absolutely,unbedingt
absorb,absorbieren
abuse,Missbrauch
academic,akademisch
accept,annehmen
access,Zugang
accident,Unfall
accompany,begleiten
accomplish,erreichen
according,gemäß
account,Konto
accurate,genau
accuse,beschuldigen
achieve,erreichen
achievement,Leistung
acid,Säure
acknowledge,anerkennen
acquire,erwerben
across,über
act,Handlung
action,Aktion
active,aktiv
activist,Aktivist
activity,Aktivität
actor,Schauspieler
actress,Darstellerin
actual,tatsächlich
actually,eigentlich
ad,Anzeige
adapt,sich anpassen
add,hinzufügen
addition,Zusatz
additional,zusätzlich
address,die Anschrift
adequate,angemessen
adjust,anpassen
adjustment,Einstellung
administration,Verwaltung
administrator,Administrator
admire,bewundern
admission,Eintritt
admit,zugeben
adolescent,Jugendlicher
adopt,adoptieren
adult,Erwachsene
advance,Vorauszahlung
advanced,fortschrittlich
advantage,Vorteil
adventure,Abenteuer
advertising,Werbung
advice,Rat
advise,beraten
adviser,Berater
advocate,Fürsprecher
affair,Affäre
affect,beeinträchtigen
afford,sich leisten
afraid,besorgt
African,afrikanisch
African-American,Afroamerikaner
after,nach
afternoon,Nachmittag
again,wieder
against,gegen
age,das Alter
agency,Agentur
agenda,Agenda
agent,Agent
aggressive,aggressiv
ago,vor
agree,zustimmen
agreement,Zustimmung
agricultural,landwirtschaftlich
ah,Ah
ahead,voraus
aid,Hilfe
aide,Berater
AIDS,AIDS
aim,Ziel
air,Luft
aircraft,Flugzeug
airline,Fluggesellschaft
airport,Flughafen
album,Album
alcohol,Alkohol
alive,am Leben
all,alle
alliance,Allianz
allow,ermöglichen
ally,Verbündete
almost,fast
alone,allein
along,eine lange
already,schon
also,Auch
alter,ändern
alternative,Alternative
although,obwohl
always,stets
AM,BIN
amazing,toll
American,amerikanisch
among,unter
amount,Menge
analysis,Analyse
analyst,Analytiker
analyze,analysieren
ancient,alt
and,und
anger,Wut
angle,Winkel
angry,wütend
animal,Tier
anniversary,Jubiläum
announce,bekannt geben
annual,jährlich
another,Ein weiterer
answer,Antworten
anticipate,antizipieren
anxiety,Angst
any,irgendein
anybody,irgendjemand
anymore,mehr
anyone,jeder
anything,irgendetwas
anyway,ohnehin
anywhere,irgendwo
apart,ein Teil
apartment,Wohnung
apparent,ersichtlich
apparently,offenbar
appeal,appellieren
appear,erscheinen
appearance,Aussehen
apple,Apfel
application,Anwendung
apply,anwenden
appoint,ernennen
appointment,geplanter Termin
appreciate,im Wert steigen
approach,sich nähern
appropriate,angemessen
approval,die Genehmigung
approve,genehmigen
approximately,etwa
Arab,Araber
architect,Architekt
area,Bereich
argue,streiten
argument,Streit
arise,entstehen
arm,Arm
armed,bewaffnet
army,Heer
around,um
arrange,arrangieren
arrangement,Anordnung
arrest,Festnahme
arrival,Ankunft
arrive,ankommen
art,Kunst
article,Artikel
artist,Künstler
artistic,künstlerisch
as,wie
Asian,asiatisch
aside,beiseite
ask,Fragen
asleep,schlafend
aspect,Aspekt
assault,Angriff
assert,behaupten
assess,bewerten
assessment,Bewertung
asset,Anlage
assign,zuordnen
assignment,Abtretung
assist,helfen
assistance,Hilfe
assistant,Assistent
associate,assoziieren
association,Verband
assume,davon ausgehen
assumption,Annahme
assure,versichern
at,bei
athlete,Athlet
athletic,sportlich
atmosphere,Atmosphäre
attach,anfügen
attack,Attacke
attempt,versuchen
attend,teilnehmen
attention,Aufmerksamkeit
attitude,Attitüde
attorney,Rechtsanwalt
attract,anlocken
attractive,attraktiv
attribute,Attribut
audience,Publikum
author,Autor
authority,Behörde
auto,Auto
available,verfügbar
average,Durchschnitt
avoid,vermeiden
award,vergeben
aware,bewusst
awareness,Bewusstsein
away,ein Weg
awful,furchtbar
baby,Baby
back,der Rücken
background,Hintergrund
bad,Schlecht
badly,schlecht
bag,Tasche
bake,backen
balance,Gleichgewicht
ball,Ball
ban,Verbot
band,Band
bank,Bank
bar,Bar
barely,kaum
barrel,Fass
barrier,Barriere
base,Base
baseball,Baseball
basic,Basic
basically,Grundsätzlich
basis,Basis
basket,Korb
basketball,Basketball
bathroom,Bad
battery,Batterie
battle,Schlacht
be,sein
beach,Strand
bean,Bohne
bear,Bär
beat,schlagen
beautiful,schön
beauty,Schönheit
because,Weil
become,werden
bed,Bett
bedroom,Schlafzimmer
beer,Bier
before,Vor
begin,Start
beginning,Anfang
behavior,Verhalten
behind,hinter
being,Sein
belief,Glauben
believe,glauben
bell,Glocke
belong,gehören
below,unter
belt,Gürtel
bench,Bank
bend,Biege
beneath,unter
benefit,Nutzen
beside,neben
besides,Außerdem
best,Beste
bet,Wette
better,besser
between,zwischen
beyond,Darüber hinaus
Bible,Bibel
big,groß
bike,Fahrrad
bill,Rechnung
billion,Milliarde
bind,binden
biological,biologisch
bird,Vogel
birth,Geburt
birthday,Geburtstag
bit,bisschen
bite,beissen
black,Schwarz
blade,Klinge
blame,Schuld
blanket,Decke
blind,blind
block,Block
blood,Blut
blow,Schlag
blue,blau
board,Tafel
boat,Boot
body,Karosserie
bomb,Bombe
bombing,Bombardierung
bond,Bindung
bone,Knochen
book,Buchen
boom,Boom
boot,Stiefel
border,Grenze
born,geboren
borrow,ausleihen
boss,Chef
both,beide
bother,sich kümmern
bottle,Flasche
bottom,Unterseite
boundary,Grenze
bowl,Schüssel
box,Kasten
boy,Junge
boyfriend,Freund
brain,Gehirn
branch,Zweig
brand,Marke
bread,brot
break,Unterbrechung
breakfast,Frühstück
breast,Brust
breath,Atem
breathe,atmen
brick,Backstein
bridge,Brücke
brief,knapp
briefly,knapp
bright,hell
brilliant,brillant
bring,bringen
British,britisch
broad,breit
broken,gebrochen
brother,Bruder
brown,braun
brush,Bürste
buck,Bock
budget,Budget
build,bauen
building,Gebäude
bullet,Patrone
bunch,Bündel
burden,Last
burn,brennen
bury,begraben
bus,Bus
business,Geschäft
busy,belebt
but,aber
butter,Butter
button,Taste
buy,Kaufen
buyer,Käufer
by,durch
cabin,Kabine
cabinet,Kabinett
cable,Kabel
cake,Kuchen
calculate,Berechnung
call,Anruf
camera,Kamera
camp,Lager
campaign,Kampagne
campus,Campus
can,kann
Canadian,kanadisch
cancer,Krebs
candidate,Kandidat
cap,Deckel
capability,Fähigkeit
capable,fähig
capacity,Kapazität
capital,Hauptstadt
captain,Kapitän
capture,Erfassung
car,Wagen
carbon,Kohlenstoff
card,Karte
care,Pflege
career,Werdegang
careful,Vorsichtig
carefully,sorgfältig
carrier,Träger
carry,tragen
case,Fall
cash,Kasse
cast,gießen
cat,Katze
catch,Fang
category,Kategorie
Catholic,katholisch
cause,weil
ceiling,Decke
celebrate,zelebrieren
celebration,Feier
celebrity,Berühmtheit
cell,Zelle
center,Center
central,zentral
century,Jahrhundert
CEO,Vorsitzender
ceremony,Zeremonie
certain,sicher
certainly,sicherlich
chain,Kette
chair,Stuhl
chairman,Vorsitzende
challenge,Herausforderung
chamber,Kammer
champion,Champion
championship,Meisterschaft
chance,Chance
change,Rückgeld
changing,Ändern
channel,Kanal
chapter,Kapitel
character,Charakter
characteristic,charakteristisch
characterize,charakterisieren
charge,aufladen
charity,Wohltätigkeit
chart,Diagramm
chase,Verfolgungsjagd
cheap,billig
check,überprüfen
cheek,Wange
cheese,Käse
chef,Koch
chemical,chemisch
chest,Truhe
chicken,Hähnchen
chief,Chef
child,Kind
childhood,Kindheit
Chinese,Chinesisch
chip,Chip
chocolate,Schokolade
choice,Auswahl
cholesterol,Cholesterin
choose,wählen
Christian,Christian
Christmas,Weihnachten
church,Kirche
cigarette,Zigarette
circle,Kreis
circumstance,Umstand
cite,zitieren
citizen,Bürger
city,Stadt
civil,bürgerlich
civilian,Zivilist
claim,Klage
class,Klasse
classic,klassisch
classroom,Klassenzimmer
clean,sauber
clear,klar
clearly,deutlich
client,Klient
climate,Klima
climb,steigen
clinic,Klinik
clinical,klinisch
clock,Uhr
close,nah dran
closely,eng
closer,näher
clothes,Kleidung
clothing,Kleidung
cloud,Wolke
club,Verein
clue,Hinweis
cluster,Cluster
coach,Coach
coal,Kohle
coalition,Koalition
coast,Küste
coat,Mantel
code,Code
coffee,Kaffee
cognitive,kognitiv
cold,kalt
collapse,Zusammenbruch
colleague,Kollege
collect,sammeln
collection,Sammlung
collective,kollektiv
college,Uni
colonial,kolonial
color,Farbe
column,Säule
combination,Kombination
combine,kombinieren
come,Kommen Sie
comedy,Komödie
comfort,Komfort
comfortable,gemütlich
command,Befehl
commander,Kommandant
comment,Kommentar
commercial,kommerziell
commission,Kommission
commit,verpflichten
commitment,Verpflichtung
committee,Komitee
common,gemeinsames
communicate,kommunizieren
communication,Kommunikation
community,Gemeinschaft
company,Gesellschaft
compare,vergleichen
comparison,Vergleich
compete,wetteifern
competition,Wettbewerb
competitive,wettbewerbsfähig
competitor,Wettbewerber
complain,beschweren
complaint,Beschwerde
complete,Komplett
completely,vollständig
complex,Komplex
complicated,kompliziert
component,Komponente
compose,komponieren
composition,Komposition
comprehensive,umfassend
computer,Computer
concentrate,konzentrieren
concentration,Konzentration
concept,Konzept
concern,Anliegen
concerned,betroffen
concert,Konzert
conclude,daraus schließen
conclusion,Fazit
concrete,Beton
condition,Bedingung
conduct,Verhalten
conference,Konferenz
confidence,Vertrauen
confident,zuversichtlich
confirm,bestätigen
conflict,Konflikt
confront,konfrontieren
confusion,Verwirrtheit
Congress,Kongress
congressional,Kongress-
connect,verbinden
connection,Verbindung
consciousness,Bewusstsein
consensus,Konsens
consequence,Folge
conservative,konservativ
consider,Erwägen
considerable,beträchtlich
consideration,Rücksichtnahme
consist,bestehen
consistent,konsistent
constant,Konstante
constantly,ständig
constitute,bilden
constitutional,konstitutionell
construct,konstruieren
construction,Konstruktion
consultant,Berater
consume,verbrauchen
consumer,Verbraucher
consumption,Verbrauch
contact,Kontakt
contain,enthalten
container,Container
contemporary,zeitgenössisch
content,Inhalt
contest,Wettbewerb
context,Kontext
continue,fortsetzen
continued,Fortsetzung
contract,Vertrag
contrast,Kontrast
contribute,beitragen
contribution,Beitrag
control,Kontrolle
controversial,umstritten
controversy,Kontroverse
convention,Konvention
conventional,konventionell
conversation,Gespräch
convert,Konvertieren
conviction,Überzeugung
convince,überzeugen
cook,Koch
cookie,Plätzchen
cooking,Kochen
cool,Kalt
cooperation,Zusammenarbeit
cop,Polizist
cope,bewältigen
copy,Kopieren
core,Ader
corn,Mais
corner,Ecke
corporate,Unternehmen
corporation,Konzern
correct,Korrekt
correspondent,Korrespondent
cost,kosten
cotton,Baumwolle
couch,Couch
could,könnte
council,Rat
counselor,Berater
count,zählen
counter,Zähler
country,Land
county,Bezirk
couple,Paar
courage,Mut
course,Kurs
court,Gericht
cousin,Cousin
cover,Startseite
coverage,Berichterstattung
cow,Kuh
crack,Riss
craft,Boot
crash,Absturz
crazy,verrückt
cream,Creme
create,schaffen
creation,Schaffung
creative,kreativ
creature,Kreatur
credit,Anerkennung
crew,Besatzung
crime,Verbrechen
criminal,kriminell
crisis,Krise
criteria,Kriterien
critic,Kritiker
critical,kritisch
criticism,Kritik
criticize,kritisieren
crop,Ernte
cross,Kreuz
crowd,Menge
crucial,zentral
cry,Schrei
cultural,kulturell
culture,Kultur
cup,Tasse
curious,neugierig
current,aktuell
currently,zur Zeit
curriculum,Lehrplan
custom,Brauch
customer,Kunde
cut,schneiden
cycle,Kreislauf
dad,Papa
daily,Täglich
damage,Schaden
dance,tanzen
danger,Achtung
dangerous,gefährlich
dare,Wagen
dark,dunkel
darkness,Dunkelheit
data,Daten
date,Datum
daughter,Tochter
day,Tag
dead,tot
deal,handeln
dealer,Händler
dear,Liebling
death,Tod
debate,Debatte
debt,Schuld
decade,Jahrzehnt
decide,sich entscheiden
decision,Entscheidung
deck,Deck
declare,erklären
decline,Abfall
decrease,Verringerung
deep,tief
deeply,tief
deer,Hirsch
defeat,Verlust
defend,verteidigen
defendant,Beklagte
defense,Verteidigung
defensive,Defensive
deficit,Defizit
define,definieren
definitely,bestimmt
definition,Definition
degree,Grad
delay,Verzögerung
deliver,liefern
delivery,Lieferung
demand,fordern
democracy,Demokratie
Democrat,Demokrat
democratic,demokratisch
demonstrate,zeigen
demonstration,Demonstration
deny,leugnen
department,Abteilung
depend,abhängen
dependent,abhängig
depending,abhängig
depict,abbilden
depression,Depression
depth,Tiefe
deputy,Stellvertreter
derive,ableiten
describe,beschreiben
description,Bezeichnung
desert,Wüste
deserve,verdienen
design,Entwurf
designer,Designer
desire,Verlangen
desk,Schreibtisch
desperate,verzweifelt
despite,Trotz
destroy,zerstören
destruction,Zerstörung
detail,Detail
detailed,detailliert
detect,erkennen
determine,bestimmen
develop,sich entwickeln
developing,Entwicklung
development,Entwicklung
device,Gerät
devote,widmen
dialogue,Dialog
die,sterben
diet,Diät
differ,abweichen
difference,Unterschied
different,anders
differently,anders
difficult,schwierig
difficulty,Schwierigkeit
dig,graben
digital,Digital
dimension,Abmessungen
dining,Essen
dinner,Abendessen
direct,Direkte
direction,Richtung
directly,direkt
director,Direktor
dirt,Schmutz
dirty,schmutzig
disability,Behinderung
disagree,nicht zustimmen
disappear,verschwinden
disaster,Katastrophe
discipline,Disziplin
discourse,Diskurs
discover,entdecken
discovery,Entdeckung
discrimination,Diskriminierung
discuss,diskutieren
discussion,Diskussion
disease,Erkrankung
dish,Gericht
dismiss,zurückweisen
disorder,Störung
display,Anzeige
dispute,Disput
distance,Distanz
distant,entfernt
distinct,unterscheidbar
distinction,Unterscheidung
distinguish,unterscheiden
distribute,verteilen
distribution,Verteilung
district,Bezirk
diverse,vielfältig
diversity,Diversität
divide,teilen
division,Aufteilung
divorce,Scheidung
DNA,DNA
do,tun
doctor,Arzt
document,dokumentieren
dog,Hund
domestic,inländisch
dominant,Dominant
dominate,dominieren
door,Tür
double,doppelt
doubt,Zweifel
down,Nieder
downtown,Innenstadt
dozen,Dutzend
draft,Entwurf
drag,ziehen
drama,Theater
dramatic,dramatisch
dramatically,dramatisch
draw,zeichnen
drawing,Zeichnung
dream,Traum
dress,Kleid
drink,Getränk
drive,Fahrt
driver,Treiber
drop,fallen
drug,Arzneimittel
dry,trocken
due,fällig
during,während
dust,Staub
duty,Pflicht
each,jeder
eager,erpicht
ear,Ohr
early,frühzeitig
earn,verdiene
earnings,Verdienste
earth,Erde
ease,Leichtigkeit
easily,leicht
east,Ost
eastern,Ost
easy,einfach
eat,Essen
economic,wirtschaftlich
economics,Wirtschaft
economist,Ökonom
economy,Wirtschaft
edge,Kante
edition,Auflage
editor,Editor
educate,erziehen
education,Ausbildung
educational,lehrreich
educator,Erzieher
effect,Wirkung
effective,Wirksam
effectively,effektiv
efficiency,Effizienz
efficient,effizient
effort,Anstrengung
egg,Ei
eight,acht
either,entweder
elderly,Alten
elect,wählen
election,Wahl
electric,elektrisch
electricity,Elektrizität
electronic,elektronisch
element,Element
elementary,elementar
eliminate,beseitigen
elite,Elite
else,anders
elsewhere,anderswo
e-mail,Email
embrace,Umarmung
emerge,auftauchen
emergency,Notfall
emission,Emission
emotion,Emotion
emotional,emotional
emphasis,Hervorhebung
emphasize,betonen
employ,beschäftigen
employee,Angestellter
employer,Arbeitgeber
employment,Beschäftigung
empty,leer
enable,ermöglichen
encounter,begegnen
encourage,ermutigen
end,Ende
enemy,Feind
energy,Energie
enforcement,Durchsetzung
engage,engagieren
engine,Motor
engineer,Techniker
engineering,Ingenieurwesen
English,Englisch
enhance,erweitern
enjoy,Viel Spaß
enormous,enorm
enough,genügend
ensure,dafür sorgen
enter,Eintreten
enterprise,Unternehmen
entertainment,Entertainment
entire,gesamte
entirely,völlig
entrance,Eingang
entry,Eintrag
environment,Umgebung
environmental,Umwelt
episode,Folge
equal,gleich
equally,gleichermaßen
equipment,Ausrüstung
era,Epoche
error,Error
escape,Flucht
especially,besonders
essay,Aufsatz
essential,wesentlich
essentially,im Wesentlichen
establish,Gründen
establishment,Einrichtung
estate,Anwesen
estimate,schätzen
etc,etc
ethics,Ethik
ethnic,ethnisch
European,europäisch
evaluate,auswerten
evaluation,Auswertung
even,eben
evening,Abend
event,Veranstaltung
eventually,letztlich
ever,je
every,jeder
everybody,alle
everyday,täglich
everyone,alle
everything,alles
everywhere,"überall, überallhin, allerorts"
evidence,Beweis
evolution,Evolution
evolve,sich entwickeln
exact,genau
exactly,exakt
examination,Untersuchung
examine,untersuchen
example,Beispiel
exceed,überschreiten
excellent,Ausgezeichnet
except,außer
exception,Ausnahme
exchange,Austausch
exciting,aufregend
executive,Executive
exercise,Übung
exhibit,Ausstellungsstück
exhibition,Ausstellung
exist,existieren
existence,Existenz
existing,vorhandenen
expand,erweitern
expansion,Erweiterung
expect,erwarten von
expectation,Erwartung
expense,Kosten
expensive,teuer
experience,Erfahrung
experiment,Experiment
expert,Experte
explain,erklären
explanation,Erläuterung
explode,explodieren
explore,erforschen
explosion,Explosion
expose,entlarven
exposure,Exposition
express,ausdrücken
expression,Ausdruck
extend,erweitern
extension,Verlängerung
extensive,umfangreich
extent,Ausmaß
external,extern
extra,extra
extraordinary,außerordentlich
extreme,extrem
extremely,äußerst
eye,Auge
fabric,Stoff
face,Gesicht
facility,Einrichtung
fact,Tatsache
factor,Faktor
factory,Fabrik
faculty,Fakultät
fade,verblassen
fail,scheitern
failure,Versagen
fair,Messe
fairly,ziemlich
faith,Glaube
fall,Herbst
FALSE,FALSCH
familiar,vertraut
family,Familie
famous,berühmt
fan,Fan
fantasy,Fantasie
far,weit
farm,Bauernhof
farmer,Bauer
fashion,Mode
fast,schnell
fat,fett
fate,das Schicksal
father,Vater
fault,Fehler
favor,favorisieren
favorite,Favorit
fear,Furcht
feature,Besonderheit
federal,Bundes
fee,Gebühr
feed,Einspeisung
feel,Gefühl
feeling,Gefühl
fellow,Gefährte
female,weiblich
fence,Zaun
few,wenig
fewer,weniger
fiber,Faser
fiction,Fiktion
field,aufstellen
fifteen,fünfzehn
fifth,fünfte
fifty,fünfzig
fight,Kampf
fighter,Kämpfer
fighting,Kampf
figure,Zahl
file,Datei
fill,füllen
film,Film
final,Finale
finally,endlich
finance,Finanzen
financial,finanziell
find,finden
finding,finden
fine,fein
finger,Finger
finish,Fertig
fire,Feuer
firm,Feste
first,Erste
fish,Fische
fishing,Angeln
fit,fit
fitness,Fitness
five,fünf
fix,Fix
flag,Flagge
flame,Flamme
flat,eben
flavor,Geschmack
flee,fliehen
flesh,Fleisch
flight,Flug
float,schweben
floor,Boden
flow,fließen
flower,Blume
fly,fliegen
focus,Fokus
folk,Volk
follow,Folgen
following,folgen
food,Lebensmittel
foot,Fuß
football,Fußball
for,zum
force,Macht
foreign,ausländisch
forest,Wald
forever,bis in alle Ewigkeit
forget,vergessen
form,bilden
formal,formell
formation,Formation
former,ehemalige
formula,Formel
forth,weiter
fortune,Reichtum
forward,nach vorne
found,gefunden
foundation,Stiftung
founder,Gründer
four,vier
fourth,vierte
frame,rahmen
framework,Rahmen
free,frei
freedom,Freiheit
freeze,einfrieren
French,Französisch
frequency,Frequenz
frequent,häufig
frequently,häufig
fresh,frisch
friend,Freund
friendly,freundlich
friendship,Freundschaft
from,aus
front,Vorderseite
fruit,Obst
frustration,Frustration
fuel,Treibstoff
full,voll
fully,völlig
fun,Spaß
function,Funktion
fund,Fonds
fundamental,grundlegend
funding,Finanzierung
funeral,Beerdigung
funny,komisch
furniture,Möbel
furthermore,weiter
future,Zukunft
gain,gewinnen
galaxy,Galaxis
gallery,Galerie
game,Spiel
gang,Gang
gap,Lücke
garage,Garage
garden,Garten
garlic,Knoblauch
gas,Gas
gate,Tor
gather,versammeln
gay,Fröhlich
gaze,Blick
gear,Ausrüstung
gender,Geschlecht
gene,Gen
general,Allgemeines
generally,allgemein
generate,generieren
generation,Generation
genetic,genetisch
gentleman,Gentleman
gently,sanft
German,Deutsch
gesture,Geste
get,erhalten
ghost,Geist
giant,Riese
gift,Geschenk
gifted,begabtes
girl,Mädchen
girlfriend,feste Freundin
give,geben
given,gegeben
glad,froh
glance,Blick
glass,Glas
global,global
glove,Handschuh
go,gehen
goal,Tor
God,Gott
gold,Gold
golden,golden
golf,Golf
good,gut
government,Regierung
governor,Gouverneur
grab,greifen
grade,Klasse
gradually,schrittweise
graduate,Absolvent
grain,Getreide
grand,Grand
grandfather,Großvater
grandmother,Oma
grant,gewähren
grass,Gras
grave,Grab
gray,grau
great,Großartig
greatest,größte
green,grün
grocery,Lebensmittelgeschäft
ground,Boden
group,Gruppe
grow,größer werden
growing,wachsend
growth,Wachstum
guarantee,Garantie
guard,bewachen
guess,erraten
guest,Gast
guide,führen
guideline,Richtlinie
guilty,schuldig
gun,Pistole
guy,Kerl
habit,Gewohnheit
habitat,Lebensraum
hair,Haar
half,halb
hall,Halle
hand,Hand
handful,Hand voll
handle,handhaben
hang,aufhängen
happen,passieren
happy,glücklich
hard,schwer
hardly,kaum
hat,Hut
hate,hassen
have,haben
he,er
head,Kopf
headline,Überschrift
headquarters,Hauptquartier
health,die Gesundheit
healthy,gesund
hear,hören
hearing,Hören
heart,Herz
heat,Wärme
heaven,Himmel
heavily,schwer
heavy,schwer
heel,Hacke
height,Höhe
helicopter,Hubschrauber
hell,Hölle
hello,hallo
help,Hilfe
helpful,hilfreich
her,Sie
here,hier
heritage,Erbe
hero,Held
herself,Sie selber
hey,Hey
hi,hallo
hide,ausblenden
high,hoch
highlight,Markieren
highly,höchst
highway,Autobahn
hill,hügel
him,ihn
himself,selbst
hip,Hüfte
hire,mieten
his,seine
historian,Historiker
historic,historisch
historical,historisch
history,Geschichte
hit,Schlag
hold,halt
hole,Loch
holiday,Ferien
holy,heilig
home,Heimat
homeless,obdachlos
honest,ehrlich
honey,Honig
honor,ehren
hope,Hoffnung
horizon,Horizont
horror,Grusel
horse,Pferd
hospital,Krankenhaus
host,Gastgeber
hot,heiß
hotel,Hotel
hour,Stunde
house,Haus
household,Haushalt
housing,Gehäuse
how,wie
however,jedoch
huge,riesig
human,Mensch
humor,Humor
hundred,hundert
hungry,hungrig
hunter,Jäger
hunting,Jagd
hurt,Schmerz
husband,Ehemann
hypothesis,Hypothese
I,ich
ice,Eis
idea,Idee
ideal,Ideal
identification,Identifikation
identify,identifizieren
identity,Identität
ie,dh
if,wenn
ignore,ignorieren
ill,krank
illegal,illegal
illness,Krankheit
illustrate,veranschaulichen
image,Bild
imagination,Vorstellung
imagine,vorstellen
immediate,sofort
immediately,sofort
immigrant,Immigrant
immigration,Einwanderung
impact,Einschlag
implement,implementieren
implication,Implikation
imply,implizieren
importance,Bedeutung
important,wichtig
impose,auferlegen
impossible,unmöglich
impress,beeindrucken
impression,Eindruck
impressive,beeindruckend
improve,verbessern
improvement,Verbesserung
in,in
incentive,Anreiz
incident,Vorfall
include,enthalten
including,einschließlich
income,Einkommen
incorporate,Übernehmen
increase,Zunahme
increased,erhöht
increasing,zunehmen
increasingly,zunehmend
incredible,unglaublich
indeed,in der Tat
independence,Unabhängigkeit
independent,unabhängig
index,Index
Indian,indisch
indicate,angeben
indication,Indikation
individual,Individuell
industrial,industriell
industry,Industrie
infant,Kleinkind
infection,Infektion
inflation,Inflation
influence,beeinflussen
inform,informieren
information,Information
ingredient,Zutat
initial,Initial
initially,anfänglich
initiative,Initiative
injury,Verletzung
inner,innere
innocent,unschuldig
inquiry,Anfrage
inside,Innerhalb
insight,Einblick
insist,pochen
inspire,inspirieren
install,Installieren
instance,Beispiel
instead,stattdessen
institution,Institution
institutional,institutionell
instruction,Anweisung
instructor,Lehrer
instrument,Instrument
insurance,Versicherung
intellectual,intellektuell
intelligence,Intelligenz
intend,beabsichtigen
intense,heftig
intensity,Intensität
intention,Absicht
interaction,Interaktion
interest,Interesse
interested,interessiert
interesting,interessant
internal,intern
international,International
Internet,Internet
interpret,interpretieren
interpretation,Deutung
intervention,Intervention
interview,Interview
into,hinein
introduce,einführen
introduction,Einleitung
invasion,Invasion
invest,investieren
investigate,untersuchen
investigation,Ermittlung
investigator,Ermittler
investment,Investition
investor,Investor
invite,einladen
involve,einbeziehen
involved,beteiligt
involvement,Beteiligung
Iraqi,irakisch
Irish,irisch
iron,Eisen
Islamic,islamisch
island,Insel
Israeli,israelisch
issue,Ausgabe
it,es
Italian,Italienisch
item,Artikel
its,es ist
itself,selbst
jacket,Jacke
jail,Gefängnis
Japanese,japanisch
jet,Jet
Jew,Jude
Jewish,jüdisch
job,Arbeit
join,beitreten
joint,gemeinsam
joke,scherzen
journal,Tagebuch
journalist,Journalist
journey,Reise
joy,Freude
judge,Richter
